High,Low,Open,Close,Volume,Adj Close
4390.0,4260.0,4380.0,4330.0,184463200.0,3813.76806640625
4360.0,4210.0,4240.0,4330.0,132874000.0,3813.76806640625
4350.0,4280.0,4290.0,4340.0,76916700.0,3822.575927734375
4410.0,4340.0,4390.0,4370.0,127804000.0,3848.9990234375
4370.0,4370.0,4370.0,4370.0,0.0,3848.9990234375
4420.0,4340.0,4420.0,4370.0,126901700.0,3848.9990234375
4400.0,4310.0,4330.0,4380.0,109485100.0,3857.806884765625
4300.0,4190.0,4300.0,4230.0,143009800.0,3725.690185546875
4280.0,4210.0,4210.0,4250.0,112789100.0,3743.3056640625
4250.0,4180.0,4250.0,4220.0,120152500.0,3716.882568359375
4160.0,4120.0,4140.0,4120.0,163340000.0,3628.8046875
4160.0,4090.0,4100.0,4120.0,120282900.0,3628.8046875
4140.0,4100.0,4130.0,4100.0,71877200.0,3611.189208984375
4090.0,3970.0,4000.0,4050.0,115090400.0,3567.150146484375
4060.0,3890.0,4050.0,3890.0,167394600.0,3426.225830078125
3990.0,3820.0,3940.0,3860.0,144094800.0,3399.802490234375
3910.0,3770.0,3910.0,3790.0,155199000.0,3338.14794921875
3850.0,3660.0,3800.0,3750.0,165275800.0,3302.916748046875
3840.0,3710.0,3800.0,3750.0,206532500.0,3302.916748046875
3830.0,3710.0,3710.0,3770.0,118633800.0,3320.532470703125
3890.0,3800.0,3820.0,3850.0,209226900.0,3390.994873046875
3930.0,3770.0,3780.0,3850.0,150398400.0,3500.23486328125
3970.0,3860.0,3900.0,3920.0,123578400.0,3563.87548828125
3950.0,3810.0,3930.0,3810.0,376621800.0,3463.868896484375
3950.0,3860.0,3890.0,3940.0,139713200.0,3582.05859375
3940.0,3940.0,3940.0,3940.0,0.0,3582.05859375
4120.0,3980.0,3990.0,4100.0,261104200.0,3727.522705078125
4100.0,4100.0,4100.0,4100.0,0.0,3727.522705078125
4100.0,4100.0,4100.0,4100.0,0.0,3727.522705078125
4100.0,4100.0,4100.0,4100.0,0.0,3727.522705078125
4100.0,4100.0,4100.0,4100.0,0.0,3727.522705078125
4100.0,4100.0,4100.0,4100.0,0.0,3727.522705078125
4270.0,4200.0,4220.0,4230.0,196745300.0,3845.712646484375
4250.0,4150.0,4250.0,4230.0,116270900.0,3845.712646484375
4210.0,4170.0,4170.0,4210.0,92904100.0,3827.529541015625
4250.0,4180.0,4250.0,4200.0,116825700.0,3818.43798828125
