Date,Close
2019-01-01,7450.0
2019-01-02,7275.0
2019-01-03,7475.0
2019-01-04,7425.0
2019-01-07,7425.0
2019-01-08,7300.0
2019-01-09,7325.0
2019-01-10,7450.0
2019-01-11,7475.0
2019-01-14,7400.0
2019-01-15,7500.0
2019-01-16,7500.0
2019-01-17,7500.0
2019-01-18,7500.0
2019-01-21,7500.0
2019-01-22,7575.0
2019-01-23,7650.0
2019-01-24,7775.0
2019-01-25,7850.0
2019-01-28,7700.0
2019-01-29,7700.0
2019-01-30,7700.0
2019-01-31,7750.0
2019-02-01,7775.0
2019-02-04,7600.0
2019-02-05,7600.0
2019-02-06,7650.0
2019-02-07,7600.0
2019-02-08,7700.0
2019-02-11,7750.0
2019-02-12,7600.0
2019-02-13,7600.0
2019-02-14,7550.0
2019-02-15,7425.0
2019-02-18,7625.0
2019-02-19,7500.0
2019-02-20,7500.0
2019-02-21,7550.0
2019-02-22,7625.0
2019-02-25,7600.0
2019-02-26,7600.0
2019-02-27,7475.0
2019-02-28,7075.0
2019-03-01,7300.0
2019-03-04,7375.0
2019-03-05,7150.0
2019-03-06,7200.0
2019-03-07,7200.0
2019-03-08,7250.0
2019-03-11,7150.0
2019-03-12,7100.0
2019-03-13,7175.0
2019-03-14,7100.0
2019-03-15,7100.0
2019-03-18,7200.0
2019-03-19,7275.0
2019-03-20,7225.0
2019-03-21,7250.0
2019-03-22,7300.0
2019-03-25,6775.0
2019-03-26,6900.0
2019-03-27,6575.0
2019-03-28,6575.0
2019-03-29,6425.0
2019-04-01,6300.0
2019-04-02,6175.0
2019-04-03,6175.0
2019-04-04,6400.0
2019-04-05,6500.0
2019-04-08,6450.0
2019-04-09,6525.0
2019-04-10,6450.0
2019-04-11,6175.0
2019-04-12,6375.0
2019-04-15,6400.0
2019-04-16,6450.0
2019-04-17,6450.0
2019-04-18,6275.0
2019-04-19,6275.0
2019-04-22,6250.0
2019-04-23,6350.0
2019-04-24,6325.0
2019-04-25,6250.0
2019-04-26,6400.0
2019-04-29,6425.0
2019-04-30,6950.0
2019-05-01,6950.0
2019-05-02,7000.0
2019-05-03,6800.0
2019-05-06,6775.0
2019-05-07,6850.0
2019-05-08,6750.0
2019-05-09,6625.0
2019-05-10,6650.0
2019-05-13,6400.0
2019-05-14,6375.0
2019-05-15,6250.0
2019-05-16,6100.0
2019-05-17,6000.0
2019-05-20,6225.0
2019-05-21,6250.0
2019-05-22,6250.0
2019-05-23,6400.0
2019-05-24,6300.0
2019-05-27,6525.0
2019-05-28,6400.0
2019-05-29,6350.0
2019-05-30,6350.0
2019-05-31,6600.0
